resort,country,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Valloire,France,59,35,77490,1,127,4.4,22,31,155,21,34,343,15,24
Sauze d'Oulx,Italy,59,35,70385,1,127,4.6,23,4,179,21,34,375,14,61
Sestriere,Italy,59,35,212680,3,60,4.2,21,82,155,21,34,375,14,61
Itter,Austria,58,47,11012,1,127,4.2,21,82,175,21,34,335.65,15,24
Lech,Austria,58,47,307170,4,40,4.6,23,4,202,20,100,451.64,11,178
Rauris,Austria,58,47,33202,1,127,4.4,22,31,152,21,34,375.41,14,61
Schladming,Austria,58,47,227229,3,60,4.2,21,82,196,20,100,375.41,14,61
Seefeld,Austria,58,47,170774,2,81,4.2,21,82,173,21,34,375.41,14,61
St Johann,Austria,58,47,35048,1,127,4.36,21,82,178,21,34,352,15,24
Chamonix,France,58,47,1608200,17,7,4.43,22,31,246,18,186,723,1,264
Les 2 Alpes,France,58,47,157007,2,81,4.53,22,31,228,19,161,335.3,15,24
Les Angles,France,58,47,59753,1,127,4.33,21,82,164,21,34,335,15,24
Les Gets,France,58,47,176473,2,81,4.43,22,31,186,20,100,367,14,61
Les Houches,France,58,47,53192,1,127,4.6,23,4,186,20,100,361,14,61
Les Saisies Hauteluce,France,58,47,1,1,127,4.5,22,31,156,21,34,367,14,61
Orcieres 1850,France,58,47,4403,1,127,4.23,21,82,143,22,5,375,14,61
St Jean d'Arves,France,58,47,1058,1,127,4,20,135,136,22,5,352,15,24
Valmeinier,France,58,47,28341,1,127,4,20,135,146,22,5,343,15,24
Madesimo,Italy,58,47,101309,2,81,4.3,21,82,160,21,34,361,14,61
Hakuba 47,Japan,58,47,45735,1,127,4.7,23,4,181,20,100,361,14,61
Salen,Sweden,58,47,298565,3,60,3.9,19,202,155,21,34,352,15,24
Pas de la Casa,Andorra,57,65,100008,2,81,4.36,21,82,207,20,100,375,14,61
Soldeu & El Tarter,Andorra,57,65,6232,1,127,4.5,22,31,207,20,100,375,14,61
Ischgl,Austria,57,65,317572,4,40,4.7,23,4,188,20,100,474,10,197
Obertauern,Austria,57,65,137501,2,81,4.1,20,135,177,21,34,375.41,14,61
Werfenweng,Austria,57,65,25248,1,127,3.6,18,239,184,20,100,240,18,12
