resort,country,country code,lat,long,coord,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Gerlos,Austria,AT,47.2256221,12.0345602,47.2256221;12.0345602,51,181,83398,1,127,4.3,21,82,208,20,100,528.15,9,216
Kuhtai,Austria,AT,47.2136222,11.0234047,47.2136222;11.0234047,51,181,46455,1,127,3.8,19,202,142,22,5,509,9,216
Portillo,Chile,CL,-32.8364183,-70.1290835,-32.8364183;-70.1290835,51,181,176810,2,81,4.16,20,135,321,15,242,375.41,14,61
La Clusaz,France,FR,45.9043659,6.4239011,45.9043659;6.4239011,51,181,199850,2,81,3.96,19,202,159,21,34,509,9,216
La Toussuire,France,FR,45.2557745,6.2626689,45.2557745;6.2626689,51,181,31247,1,127,3.9,19,202,151,21,34,479,10,197
Les Arcs,France,FR,43.4629097,6.4786269,43.4629097;6.4786269,51,181,251010,3,60,3.56,17,274,238,19,161,427,12,166
Pra Loup,France,FR,44.3701507,6.6025028,44.3701507;6.6025028,51,181,37223,1,127,3,15,291,169,21,34,375,14,61
Gressoney,Italy,IT,45.829612,7.8241273,45.829612;7.8241273,51,181,109930,2,81,3.7,18,239,181,20,100,463,11,178
Zermatt,Switzerland,CH,46.0212076,7.749254,46.0212076;7.749254,51,181,1222786,13,11,4.5,22,31,346,15,242,723,1,264
Heavenly,USA,US,37.6870865,-122.4693868,37.6870865;-122.4693868,51,181,50244,1,127,4.5,22,31,289,17,210,470,11,178
Killington,USA,US,43.67433,-72.7784445,43.67433;-72.7784445,51,181,257805,3,60,3.86,19,202,237,19,161,479,10,197
Schweitzer,USA,US,43.3620854,-70.44378573,43.3620854;-70.4437857296639,51,181,45408,1,127,4.36,21,82,365,14,254,352,15,24
La Massana,Andorra,AD,42.5442014,1.5163754,42.5442014;1.5163754,50,193,64448,1,127,3.56,17,274,142,22,5,483,10,197
Finkenberg,Austria,AT,47.1524246,11.8213394,47.1524246;11.8213394,50,193,20567,1,127,4.26,21,82,195,20,100,552.44,8,229
Kirchberg,Austria,AT,48.2650502,14.1593682,48.2650502;14.1593682,50,193,93104,1,127,3.66,18,239,169,21,34,478.94,10,197
Kitzbuhel,Austria,AT,47.4463585,12.3911473,47.4463585;12.3911473,50,193,67069,1,127,4.4,22,31,256,18,186,509,9,216
Zurs,Austria,AT,47.17122,10.1631739,47.17122;10.1631739,50,193,5486,1,127,3,15,291,202,20,100,375,14,61
Red Mountain Resort,Canada,CA,49.1055201,-117.8462801,49.1055201;-117.84628011635,50,193,8457,1,127,4.46,22,31,403,13,266,375,14,61
La Tania,France,FR,45.432169,6.5963993,45.432169;6.5963993,50,193,32500,1,127,4.6,23,4,277,17,210,509,9,216
Les Carroz,France,FR,46.0254794,6.6383866,46.0254794;6.6383866,50,193,28419,1,127,4.23,21,82,210,19,161,510,9,216
Samoens,France,FR,46.0834066,6.7269485,46.0834066;6.7269485,50,193,92092,1,127,3.06,15,291,194,20,100,375,14,61
Garmisch Partenkirchen,Germany,DE,47.4923741,11.0962815,47.4923741;11.0962815,50,193,399214,4,40,4.15,20,135,217,19,161,586.25,7,236
Corvara,Italy,IT,42.2748753,13.8726935,42.2748753;13.8726935,50,193,116174,2,81,4.2,21,82,209,20,100,566.16,7,236
La Thuile,Italy,IT,45.7162875,6.9486119,45.7162875;6.9486119,50,193,114960,2,81,3.4,17,274,167,21,34,479,10,197
Steamboat,USA,US,35.748065,-109.850669,35.748065;-109.850669,50,193,45325,1,127,4.4,22,31,376,14,254,401.59,13,141
Taos,USA,US,36.4072377,-105.573284,36.4072377;-105.573284,50,193,558206,6,25,4.36,21,82,470,10,280,401.59,13,141
Filzmoos,Austria,AT,47.4329886,13.5182127,47.4329886;13.5182127,49,207,36747,1,127,4.03,20,135,196,20,100,552.44,8,229
Galtur,Austria,AT,46.9681674,10.1865341,46.9681674;10.1865341,49,207,29415,1,127,4.4,22,31,221,19,161,586.25,7,236
Gosau,Austria,AT,47.5851071,13.5362156,47.5851071;13.5362156,49,207,55724,1,127,3.7,18,239,163,21,34,528.15,9,216
Hinterglemm,Austria,AT,47.378973,12.5971959,47.378973;12.5971959,49,207,85361,1,127,3.9,19,202,244,18,186,446,11,178
Obergurgl,Austria,AT,46.870377,11.0274984,46.870377;11.0274984,49,207,58306,1,127,3.5,17,274,286,17,210,375.41,14,61
Silver Star Mountain,Canada,CA,50.3688799,-119.0640404,50.3688799;-119.0640404,49,207,30846,1,127,4.43,22,31,427,12,270,375.41,14,61
Les Contamines - Montjoie,France,FR,45.8210905,6.72751,45.8210905;6.72751,49,207,15170,1,127,3.7,18,239,165,21,34,510,9,216
La Tzoumaz,Switzerland,CH,46.1444445,7.2348916,46.1444445;7.2348916,49,207,17494,1,127,4.4,22,31,291,17,210,509,9,216
Murren,Switzerland,CH,46.5594576,7.8929321,46.5594576;7.8929321,49,207,80238,1,127,3.7,18,239,249,18,186,432,12,166
Nendaz,Switzerland,CH,46.1867083,7.3051008,46.1867083;7.3051008,49,207,70131,1,127,3.7,18,239,249,18,186,416,12,166
